colorCode,colorName,hexCode
2078-40,Paradise Pink,#dd86a7
2078-30,Royal Fuchsia,#be5171
2078-20,Raspberry Glaze,#ad3e59
2078-10,Roseate,#9e3549
2079-70,Candy Stripe,#fbe3ed
2079-60,Pink Cherub,#f9cee2
2079-50,Rhododendron,#f3accc
2079-40,Springtime Bloom,#e57ea8
2079-30,Peony,#c94571
2079-20,Blushing Red,#b93254
2079-10,Candy Cane Red,#ab263d
2080-70,Aztec Lily,#f9e2e8
2080-60,Posy Pink,#f4cad8
2080-50,Bayberry,#e7a8bd
2080-40,Wild Pink,#d17a92
2080-30,Cherry Wine,#ae495c
2080-20,Patriot Red,#9f3c46
2080-10,Raspberry Truffle,#933639
2081-70,Flush Pink,#f9e8eb
2081-60,Pink Lace,#f6d5dd
2081-50,Pink Ruffle,#eeb7c4
2081-40,Pink Blossom,#dd8d9c
2081-30,Vibrant Blush,#bf5b68
2081-20,Sultan's Palace,#af4954
2081-10,Burnt Peanut Red,#a24149
2082-70,Ballerina Pink,#f4e3e7
2082-60,Pink Innocence,#eacdd5
2082-50,Damask Rose,#d7adb9
2082-40,Rosewood,#b8808d
2082-30,Cherokee Brick,#8d515a
2082-20,Plum Raisin,#7d4648
2082-10,Chestnut,#713f3d
2083-70,Baby Dreams,#f6e4eb
2083-60,Sweet Naivete,#edccdb
2083-50,Pink Pansy,#ddabc2
2083-40,Begonia,#c37f9b
2083-30,Old Claret,#984d65
2083-20,Cranberry Cocktail,#84404e
2083-10,Raisin Torte,#743940
2084-70,Gentle Blush,#fbe5e9
2084-60,Early Sunrise,#f7d0da
2084-50,Rosy Glow,#ebafbf
2084-40,Precious Pink,#d58396
2084-30,Rouge,#b3535e
2084-20,Maple Leaf Red,#924544
2084-10,Brick Red,#7a3c32
2085-70,Baby Pink,#f9e4e9
2085-60,Pink Petals,#f0ceda
2085-50,Strawberry,#e5adc1
2085-40,Taste of Berry,#cc7f96
2085-30,Gypsy Love,#a74f5e
2085-20,Pottery Red,#864045
2085-10,Arroyo Red,#6f3832
2086-70,50's Pink,#fce4eb
2086-60,Sweet Taffy,#fbcede
2086-50,Blushing Bride,#f6acc6
2086-40,Deep Carnation,#ea7c9e
2086-30,Rosy Blush,#d04667
2086-20,Rose Parade,#c1334b
2086-10,Exotic Red,#b42836
2087-70,Elephant Pink,#fbe8ea
2087-60,Ribbon Pink,#fbd5dc
2087-50,Strawberry Sorbet,#f7b7c4
2087-40,Autumn Red,#ec8b9a
2087-30,Italiano Rose,#d45462
2087-20,Watermelon Red,#c63e47
2087-10,Neon Red,#b92e34
2088-70,Fond Memory,#f7dad5
2088-60,Fruit Shake,#edbeb8
2088-50,Cool Lava,#da9a93
2088-40,Persimmon,#be6e65
2088-30,Strawberry Field,#a04c3e
2088-20,Country Lane,#9b4738
2088-10,Red Oxide,#974434
2089-70,Frosted Petal,#faede8
2089-60,Peach Kiss,#f7dcd7
2089-50,Salmon Berry,#efc1bb
2089-40,Tomato Cream Sauce,#e09c92
2089-30,Pink Mix,#c36d61
2089-20,Rosy Peach,#b65f50
2089-10,Iron Ore Red,#aa5546
2090-70,Spring Pink,#f8dbd6
2090-60,Strawberry Freeze,#eec1ba
2090-50,Tender Pink,#db9c95
2090-40,Wild Flower,#c07166
2090-30,Terra Cotta Tile,#a24d3f
2090-20,Rich Chestnut,#9c4938
2090-10,Grand Canyon Red,#984535
2091-70,April Pink,#f4dbd6
2091-60,Heather Pink,#e8c0bb
2091-50,Rosy Tan,#d29b96
2091-40,Red River Clay,#b47068
2091-30,Deep Poinsettia,#984d3f
2091-20,Rustic Brick,#8f4839
2091-10,Tea,#8a4435
2092-70,Fairest Pink,#f1dcd8
2092-60,Georgia Pink,#e4c2be
2092-50,Titanic Rose,#cc9f9a
2092-40,Texas Rose,#aa726a
2092-30,Boston Brick,#874c41
2092-20,Sienna,#814739
2092-10,Clydesdale Brown,#7c4334
2093-70,Pink Bliss,#f6ebe8
2093-60,Playful Pink,#f3dbd8
2093-50,Camellia Pink,#e6bfbc
2093-40,Belladonna Lily,#cf968f
2093-30,Colonial Brick,#af6658
2093-20,Fresh Clay,#8c5143
2093-10,Cimarron,#764432
2094-70,Mellow Pink,#f7e9e3
2094-60,Pleasant Pink,#efd5cf
2094-50,Desert Rose,#deb7af
2094-40,Soft Cranberry,#c28d81
2094-30,Giant Sequoia,#985d4c
2094-20,Copper Mine,#874e3c
2094-10,Burnt Cinnamon,#7c4633
2095-70,Melted Ice Cream,#efe3dc
2095-60,Southern Comfort,#e0ccc3
2095-50,Just Beige,#c7aba1
2095-40,Mudslide,#a58174
2095-30,Butternut Brown,#7f594a
2095-20,Antler Brown,#765040
2095-10,Adirondack Brown,#704c3c
2096-70,Early Sunset,#f1e5dd
2096-60,Light Mocha,#e3d0c5
2096-50,Cappuccino,#cbb0a2
2096-40,Gaucho Brown,#aa8674
2096-30,Grandfather Clock Br...,#835c49
2096-20,Chocolate Truffle,#795340
2096-10,Seed Brown,#724e3a
2097-70,Wild Rice,#eee3dd
